trial;start_time;rt;correct;fact_id;question;context_1;context_ 0;2;answer;chosen_context;encounter_2;reading_time;fogetting_rate;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
86;630785.0;1194.0;TRUE;15;beseffen;Ik <b>besef</b> dat ik het fout heb gedaan.;Ik heb niet <b>beseft</b> dat het zo laat was.;realize;to realize;beseffen;FALSE;680.6;0.34218749999999987;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
87;637203.0;1628.0;TRUE;1;vergeten;Ben je nou alweer je sleutel <b>vergeten</b>?;Sorry,we waren <b>vergeten</b> de wiki aan te passen.;forget;to forget;forgot;vergeten;FALSE;719.6;0.15078124999999998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
88;641060.0;5958.0;TRUE;22;waarschuwen;Ik ben gekomen om u te <b>waarschuwen</b>.;Het alarm bestaat om je te <b>waarschuwen</b> voor gevaar.;warn;to warn;warning;waarschuwen;FALSE;661.1;0.29999999999999993;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
89;649574.0;1300.0;TRUE;2;onderdeel;Ik mis een <b>onderdeel</b> van mijn IKEA kast.;Deze opleiding is een <b>onderdeel</b> van de Rijksuniversiteit Groningen.;part;part of;onderdeel;FALSE;758.6;0.20078125;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
90;653073.0;1173.0;TRUE;16;voldoende;Ik heb <b>voldoende</b> tijd.;Verderop is er <b>voldoende</b> ruimte.;sufficient;enough;voldoende;FALSE;407.6;0.39296875;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
91;658028.0;970.0;TRUE;8;matig;De burger smaakte een beetje <b>matig</b>.;Ik ben <b>matig</b> enthousiast over deze activiteit.;mediocre;matig;FALSE;661.1;0.25664062500000007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
92;662151.0;1886.0;TRUE;3;kerel;Ik ben een gezonde <b>kerel</b>.;Die <b>kerel</b> blokkeert steeds mijn zicht.;guy;dude;kerel;FALSE;466.1;0.15117187499999998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
93;666797.0;873.0;TRUE;4;alternatief;Ik vind thee geen goed <b>alternatief</b> voor koffie.;Ik heb een <b>alternatief</b> voorstel.;alternative;alternatief;FALSE;895.1;0.19921875000000003;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
94;672274.0;932.0;TRUE;22;waarschuwen;Ik ben gekomen om u te <b>waarschuwen</b>.;Het alarm bestaat om je te <b>waarschuwen</b> voor gevaar.;warn;to warn;warning;waarschuwen;FALSE;661.1;0.250390625;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
95;675749.0;1362.0;TRUE;7;vervelend;Ik vind het <b>vervelend</b> als de koffie op is.;Doe eens niet zo <b>vervelend</b>.;annoying;vervelend;FALSE;797.6;0.15117187499999998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
96;681558.0;3432.0;TRUE;15;beseffen;Ik <b>besef</b> dat ik het fout heb gedaan.;Ik heb niet <b>beseft</b> dat het zo laat was.;realize;to realize;beseffen;FALSE;680.6;0.34257812499999984;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
97;688333.0;1320.0;TRUE;10;meningen;Politici hebben altijd veel <b>meningen</b>.;Ik heb verschillende <b>meningen</b> over dit onderwerp.;opinions;meningen;FALSE;700.1;0.2007812500000001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
98;692343.0;2434.0;TRUE;17;bewaren;Ik vind het fijn om al mijn bonnetjes in een map te <b>bewaren</b>.;Hoe lang kun je deze kaas <b>bewaren</b>?;keep;to keep;bewaren;FALSE;1148.6;0.33671874999999996;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
99;0.0;697990.0;TRUE;1;vergeten;Ben je nou alweer je sleutel <b>vergeten</b>?;Sorry,we waren <b>vergeten</b> de wiki aan te passen.;forget;to forget;forgot;vergeten;FALSE;719.6;0.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
100;700839.0;950.0;TRUE;6;uitnodigen;Ik wil je graag <b>uitnodigen</b> voor mijn verjaardag.;Ze <b>nodigen</b> elke kunstenaar uit voor de expositie.;invite;to invite;uitnodigen;FALSE;914.6;0.15117187499999998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
101;704237.0;1300.0;TRUE;9;algemeen;Dat is niet <b>algemeen</b> bekend.;Over het <b>algemeen</b> ben ik hier heel goed in.;general;algemeen;FALSE;524.6;0.15117187499999998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
102;708258.0;2180.0;TRUE;20;betreffen;Het <b>betreft</b> een vrouw.;Die vraag <b>betreft</b> hem ook.;concern;to concern;concerns;betreffen;FALSE;407.6;0.3496093750000001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
103;713017.0;1299.0;TRUE;11;verwachten;Ze <b>verwachten</b> dat het morgen gaat regenen.;Wij <b>verwachten</b> dat jij het goed gaat doen.;expect;to expect;verwachten;FALSE;797.6;0.15117187499999998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
104;716696.0;1828.0;TRUE;5;woede;Ik probeer mijn <b>woede</b> te onderdrukken.;Ik vind <b>woede</b> moeilijk om mee om te gaan.;rage;anger;woede;FALSE;719.6;0.30390625000000004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
105;720686.0;2855.0;TRUE;17;bewaren;Ik vind het fijn om al mijn bonnetjes in een map te <b>bewaren</b>.;Hoe lang kun je deze kaas <b>bewaren</b>?;keep;to keep;bewaren;FALSE;1148.6;0.34101562499999993;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
106;725613.0;1898.0;TRUE;15;beseffen;Ik <b>besef</b> dat ik het fout heb gedaan.;Ik heb niet <b>beseft</b> dat het zo laat was.;realize;to realize;beseffen;FALSE;680.6;0.3546874999999998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
107;730161.0;1625.0;TRUE;16;voldoende;Ik heb <b>voldoende</b> tijd.;Verderop is er <b>voldoende</b> ruimte.;sufficient;enough;voldoende;FALSE;407.6;0.36835937499999993;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
108;734530.0;1080.0;TRUE;14;dreigen;Het <b>dreigt</b> te gaan regenen.;De directeur <b>dreigt</b> met onstlag.;threaten;to threaten;dreigen;FALSE;505.1;0.15117187499999998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
109;738344.0;inf;TRUE;20;betreffen;Het <b>betreft</b> een vrouw.;Die vraag <b>betreft</b> hem ook.;concern;to concern;concerns;betreffen;FALSE;407.6;0.3500000000000001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
110;746175.0;1590.0;TRUE;12;gemiddeld;Deze opleiding heeft <b>gemiddeld</b> 60 studenten per jaar.;De temperatuur in Nederland is <b>gemiddeld</b> 15 graden.;average;on average;gemiddeld;FALSE;1012.1;0.15117187499999998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
111;751112.0;1314.0;TRUE;18;fluisteren;<b>Fluisteren</b> in het openbaar is niet beleefd.;Ik kon ze vanuit mijn tent horen <b>fluisteren</b>.;whisper;to whisper;fluisteren;FALSE;817.1;0.16289062499999998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
112;754968.0;inf;TRUE;13;vaag;Ik heb een <b>vaag</b> idee van wat ik wil doen voor mijn scriptie.;Het plan kwam niet verder dan een <b>vage</b> gedachte.;vague;vaag;FALSE;1148.6;0.201171875;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
113;759229.0;1194.0;TRUE;19;woordenschat;Ik heb een goede <b>woordenschat</b>.;Een boek lezen doet wonderen voor je <b>woordenschat</b>.;vocabulary;woordenschat;FALSE;563.6;0.2007812500000001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
114;764273.0;2812.0;TRUE;17;bewaren;Ik vind het fijn om al mijn bonnetjes in een map te <b>bewaren</b>.;Hoe lang kun je deze kaas <b>bewaren</b>?;keep;to keep;bewaren;FALSE;1148.6;0.3414062499999999;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
115;769081.0;inf;TRUE;15;beseffen;Ik <b>besef</b> dat ik het fout heb gedaan.;Ik heb niet <b>beseft</b> dat het zo laat was.;realize;to realize;beseffen;FALSE;680.6;0.39882812499999976;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
116;773786.0;2038.0;TRUE;20;betreffen;Het <b>betreft</b> een vrouw.;Die vraag <b>betreft</b> hem ook.;concern;to concern;concerns;betreffen;FALSE;407.6;0.35039062500000007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
117;778976.0;1337.0;TRUE;15;beseffen;Ik <b>besef</b> dat ik het fout heb gedaan.;Ik heb niet <b>beseft</b> dat het zo laat was.;realize;to realize;beseffen;FALSE;680.6;0.36171874999999976;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
118;782766.0;1120.0;TRUE;22;waarschuwen;Ik ben gekomen om u te <b>waarschuwen</b>.;Het alarm bestaat om je te <b>waarschuwen</b> voor gevaar.;warn;to warn;warning;waarschuwen;FALSE;661.1;0.20078125;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
119;786083.0;1804.0;TRUE;21;behoefte;Ik heb <b>behoefte</b> aan avondeten.;Kinderen hebben <b>behoefte</b> aan veiligheid.;need;behoefte;FALSE;563.6;0.201171875;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
120;789873.0;inf;TRUE;17;bewaren;Ik vind het fijn om al mijn bonnetjes in een map te <b>bewaren</b>.;Hoe lang kun je deze kaas <b>bewaren</b>?;keep;to keep;bewaren;FALSE;1148.6;0.39101562499999987;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
121;794705.0;975.0;TRUE;16;voldoende;Ik heb <b>voldoende</b> tijd.;Verderop is er <b>voldoende</b> ruimte.;sufficient;enough;voldoende;FALSE;407.6;0.31875;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
122;798360.0;inf;TRUE;17;bewaren;Ik vind het fijn om al mijn bonnetjes in een map te <b>bewaren</b>.;Hoe lang kun je deze kaas <b>bewaren</b>?;keep;to keep;bewaren;FALSE;1148.6;0.4406249999999998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
123;803747.0;1585.0;TRUE;20;betreffen;Het <b>betreft</b> een vrouw.;Die vraag <b>betreft</b> hem ook.;concern;to concern;concerns;betreffen;FALSE;407.6;0.35625000000000007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
124;807745.0;5365.0;TRUE;17;bewaren;Ik vind het fijn om al mijn bonnetjes in een map te <b>bewaren</b>.;Hoe lang kun je deze kaas <b>bewaren</b>?;keep;to keep;bewaren;FALSE;1148.6;0.4660156249999998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
125;815389.0;1322.0;TRUE;8;matig;De burger smaakte een beetje <b>matig</b>.;Ik ben <b>matig</b> enthousiast over deze activiteit.;mediocre;matig;FALSE;661.1;0.2195312500000001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
126;820147.0;1339.0;TRUE;17;bewaren;Ik vind het fijn om al mijn bonnetjes in een map te <b>bewaren</b>.;Hoe lang kun je deze kaas <b>bewaren</b>?;keep;to keep;bewaren;FALSE;1148.6;0.46562499999999984;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
127;824033.0;inf;TRUE;15;beseffen;Ik <b>besef</b> dat ik het fout heb gedaan.;Ik heb niet <b>beseft</b> dat het zo laat was.;realize;to realize;beseffen;FALSE;680.6;0.4113281249999997;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
128;830924.0;1226.0;TRUE;17;bewaren;Ik vind het fijn om al mijn bonnetjes in een map te <b>bewaren</b>.;Hoe lang kun je deze kaas <b>bewaren</b>?;keep;to keep;bewaren;FALSE;1148.6;0.46523437499999987;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
129;834579.0;3304.0;TRUE;15;beseffen;Ik <b>besef</b> dat ik het fout heb gedaan.;Ik heb niet <b>beseft</b> dat het zo laat was.;realize;to realize;beseffen;FALSE;680.6;0.46093749999999967;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
130;841565.0;1022.0;TRUE;17;bewaren;Ik vind het fijn om al mijn bonnetjes in een map te <b>bewaren</b>.;Hoe lang kun je deze kaas <b>bewaren</b>?;keep;to keep;bewaren;FALSE;1148.6;0.4156249999999999;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
